sample,lati,longi,elevation,age,error,sys,ref,,elevation2
D39,63.072589,-151.024167,5956,16.1,0.8,AFT,"Fizgerald et al., 1995",,5956
D37,63.075854,-151.044037,5365,13,0.7,AFT,"Fizgerald et al., 1995",,5365
D29,63.075454,-151.047015,5242,9.7,0.9,AFT,"Fizgerald et al., 1995",,5242
D31,63.073266,-151.050187,4999,11.2,0.7,AFT,"Fizgerald et al., 1995",,4999
D33,63.072149,-151.056117,4758,9.1,0.7,AFT,"Fizgerald et al., 1995",,4758
D35,63.070326,-151.058733,4572,7.7,0.7,AFT,"Fizgerald et al., 1995",,4572
D42,63.066583,-151.064375,4392,6.1,0.7,AFT,"Fizgerald et al., 1995",,4392
D43,63.067077,-151.104652,4035,5.7,0.6,AFT,"Fizgerald et al., 1995",,4035
D15,63.0622,-151.132692,3840,5.3,0.5,AFT,"Fizgerald et al., 1995",,3840
D17,63.057626,-151.137636,3563,6.1,0.8,AFT,"Fizgerald et al., 1995",,3563
D18,63.054569,-151.140698,3368,6.2,0.7,AFT,"Fizgerald et al., 1995",,3368
D19,63.052082,-151.14117,3210,5.2,0.7,AFT,"Fizgerald et al., 1995",,3210
D22,63.046519,-151.145554,2740,5.7,0.7,AFT,"Fizgerald et al., 1995",,2740
D9,62.98065,-151.178687,2540,5,0.7,AFT,"Fizgerald et al., 1995",,2540
D50,62.979443,-151.190712,2098,4.3,0.6,AFT,"Fizgerald et al., 1995",,2098
