sample,lati,longi,elevation,age,error,sys,ref,,,elevation,age,error,
VB0036,49.83,12.12,-36,66.4,0.2,AFT,"Wauschkuhn et al., 2015",,,-36,66.4,0.2,
VB0153,49.83,12.12,-153,70.8,4.8,AFT,"Wauschkuhn et al., 2015",,,-153,70.8,4.8,
VB0252,49.83,12.12,-252,69.1,4.9,AFT,"Wauschkuhn et al., 2015",,,-252,69.1,4.9,
VB0443,49.83,12.12,-443,62.3,5.1,AFT,"Wauschkuhn et al., 2015",,,-443,62.3,5.1,
VB0551,49.83,12.12,-551,63.9,4.2,AFT,"Wauschkuhn et al., 2015",,,-551,63.9,4.2,
VB0750,49.83,12.12,-750,62.2,4.1,AFT,"Wauschkuhn et al., 2015",,,-750,62.2,4.1,
VB0850,49.83,12.12,-850,65.6,5.8,AFT,"Wauschkuhn et al., 2015",,,-850,65.6,5.8,
VB0950,49.83,12.12,-950,58.4,4,AFT,"Wauschkuhn et al., 2015",,,-950,58.4,4,
VB1177,49.83,12.12,-1177,,4.4,AFT,"Wauschkuhn et al., 2015",,,-1177,64.2,4.4,
VB1250,49.83,12.12,-1250,,4.5,AFT,"Wauschkuhn et al., 2015",,,-1250,64.8,4.5,
VB1350,49.83,12.12,-1350,,5.8,AFT,"Wauschkuhn et al., 2015",,,-1350,71.3,5.8,
VB1451,49.83,12.12,-1451,,4.9,AFT,"Wauschkuhn et al., 2015",,,-1451,65.3,4.9,
VB1545,49.83,12.12,-1545,,3.5,AFT,"Wauschkuhn et al., 2015",,,-1545,55.7,3.5,
VB1650,49.83,12.12,-1650,,5.3,AFT,"Wauschkuhn et al., 2015",,,-1650,56.6,5.3,
VB1738,49.83,12.12,-1738,,3.6,AFT,"Wauschkuhn et al., 2015",,,-1738,52.2,3.6,
VB1850,49.83,12.12,-1850,,4,AFT,"Wauschkuhn et al., 2015",,,-1850,56.1,4,
VB2150,49.83,12.12,-2150,,3.5,AFT,"Wauschkuhn et al., 2015",,,-2150,51.5,3.5,
VB2250,49.83,12.12,-2250,,3.8,AFT,"Wauschkuhn et al., 2015",,,-2250,56.6,3.8,
VB2350,49.83,12.12,-2350,,3.3,AFT,"Wauschkuhn et al., 2015",,,-2350,47.7,3.3,
VB2550,49.83,12.12,-2550,,2.8,AFT,"Wauschkuhn et al., 2015",,,-2550,39.3,2.8,
VB2687,49.83,12.12,-2687,,3.2,AFT,"Wauschkuhn et al., 2015",,,-2687,43.1,3.2,
VB2851,49.83,12.12,-2851,,2.1,AFT,"Wauschkuhn et al., 2015",,,-2851,31.3,2.1,
VB2951,49.83,12.12,-2951,,2.1,AFT,"Wauschkuhn et al., 2015",,,-2951,28.1,2.1,
VB3155,49.83,12.12,-3155,,2.2,AFT,"Wauschkuhn et al., 2015",,,-3155,33,2.2,
VB3248,49.83,12.12,-3248,,1.7,AFT,"Wauschkuhn et al., 2015",,,-3248,23.3,1.7,
VB3354,49.83,12.12,-3354,,2.3,AFT,"Wauschkuhn et al., 2015",,,-3354,24.6,2.3,
VB3550,49.83,12.12,-3550,,1.2,AFT,"Wauschkuhn et al., 2015",,,-3550,17.1,1.2,
VB3653,49.83,12.12,-3653,,1.2,AFT,"Wauschkuhn et al., 2015",,,-3653,14.7,1.2,
VB3785,49.83,12.12,-3785,,0.6,AFT,"Wauschkuhn et al., 2015",,,-3785,8.2,0.6,
