sample,lati,longi,elevation,age,error,sys,ref
HDSP-182,49.83,12.12,-172,69.6,3.1,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-183,49.83,12.12,-203,66.1,3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-184,49.83,12.12,-316,66.3,3.6,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-185,49.83,12.12,-435,67.8,2.8,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-194,49.83,12.12,-608,59.5,2.6,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-195,49.83,12.12,-719,62.8,3.6,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-196,49.83,12.12,-811,63.6,3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-197,49.83,12.12,-920,62.7,2.5,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-186,49.83,12.12,-1182,63.1,3.3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-187,49.83,12.12,-1304,65.9,3.3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-198,49.83,12.12,-1320,58.7,2.5,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-188,49.83,12.12,-1398,68.4,3.2,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-189,49.83,12.12,-1509,67.7,4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-190,49.83,12.12,-1533,57.5,3.7,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-191,49.83,12.12,-1605,59.7,3.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-192,49.83,12.12,-1705,65,3.3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-193,49.83,12.12,-1802,56.6,4.1,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-199,49.83,12.12,-1816,57.3,2.8,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-200,49.83,12.12,-1900,57.9,2.8,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-203,49.83,12.12,-2145,50.9,2.3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-205,49.83,12.12,-2352,50.1,2.5,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-206,49.83,12.12,-2418,49,2.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-207,49.83,12.12,-2501,43.9,2.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-208,49.83,12.12,-2507,40.6,3.7,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-209,49.83,12.12,-2572,45.7,3.8,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-210,49.83,12.12,-2626,42.4,2.6,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-211,49.83,12.12,-2689,39.1,2.9,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-212,49.83,12.12,-2788,42.6,2.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-213,49.83,12.12,-2915,35.4,2.1,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-215,49.83,12.12,-3060,35.8,1.9,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-216,49.83,12.12,-3128,33,1.9,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-217,49.83,12.12,-3193,24.4,1.6,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-218,49.83,12.12,-3256,27.1,1.5,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-219,49.83,12.12,-3358,23.2,1.3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-220,49.83,12.12,-3429,19.9,1.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-221,49.83,12.12,-3502,20.1,1.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-222,49.83,12.12,-3568,14.3,0.8,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-223,49.83,12.12,-3608,17.3,1.2,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-224,49.83,12.12,-3673,13.9,1.7,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-225,49.83,12.12,-3784,9.4,0.9,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-227,49.83,12.12,-3887,6.2,0.5,AFT,"D.A.Coyle1997, Geol Rundsch"
