sample,lati,longi,elevation,age,error,sys,ref
xx-1,30,0.207848175,2000,9.37514,0.522,AFT,"Braun et al., 2012"
xx-2,30,0.233829197,1707.106781,9.27831,0.51,AFT,"Braun et al., 2012"
xx-3,30,0.259810219,1000,8.81616,0.492,AFT,"Braun et al., 2012"
xx-4,30,0.285791241,292.893219,8.24685,0.462,AFT,"Braun et al., 2012"
xx-5,30,0.311772263,0,7.90932,0.432,AFT,"Braun et al., 2012"
xx-6,30,0.311772263,-500,7.27563,0.402,AFT,"Braun et al., 2012"
xx-7,30,0.311772263,-1000,6.63967,0.354,AFT,"Braun et al., 2012"
xx-8,30,0.311772263,-1500,5.98017,0.318,AFT,"Braun et al., 2012"
xx-9,30,0.311772263,-2000,5.28443,0.27,AFT,"Braun et al., 2012"
xx-10,30,0.207848175,2000,7.21638,0.438,AHe,"Braun et al., 2012"
xx-11,30,0.233829197,1707.106781,7.14095,0.432,AHe,"Braun et al., 2012"
xx-12,30,0.259810219,1000,6.82004,0.414,AHe,"Braun et al., 2012"
xx-13,30,0.285791241,292.893219,6.43914,0.396,AHe,"Braun et al., 2012"
xx-14,30,0.311772263,0,6.20333,0.372,AHe,"Braun et al., 2012"
xx-15,30,0.311772263,-500,5.56714,0.342,AHe,"Braun et al., 2012"
xx-16,30,0.311772263,-1000,4.61951,0.27,AHe,"Braun et al., 2012"
xx-17,30,0.311772263,-1500,3.18503,0.186,AHe,"Braun et al., 2012"
xx-18,30,0.311772263,-2000,1.59476,0.096,AHe,"Braun et al., 2012"
xx-10,30,0.207848175,2000,12.0629,0.438,ZHe,"Braun et al., 2012"
xx-11,30,0.233829197,1707.106781,11.9424,0.432,ZHe,"Braun et al., 2012"
xx-12,30,0.259810219,1000,11.4265,0.414,ZHe,"Braun et al., 2012"
xx-13,30,0.285791241,292.893219,10.8079,0.396,ZHe,"Braun et al., 2012"
xx-14,30,0.311772263,0,10.4252,0.372,ZHe,"Braun et al., 2012"
xx-15,30,0.311772263,-500,9.93276,0.342,ZHe,"Braun et al., 2012"
xx-16,30,0.311772263,-1000,9.44022,0.27,ZHe,"Braun et al., 2012"
xx-17,30,0.311772263,-1500,8.94786,0.186,ZHe,"Braun et al., 2012"
xx-18,30,0.311772263,-2000,8.45534,0.096,ZHe,"Braun et al., 2012"
