sample,lati,longi,elevation,age,error,sys,ref
xx-1,30,0.207848175,2000,8.26883,0.522,AFT,"Braun et al., 2012"
xx-2,30,0.233829197,1707.106781,8.13612,0.51,AFT,"Braun et al., 2012"
xx-3,30,0.259810219,1000,7.68317,0.492,AFT,"Braun et al., 2012"
xx-4,30,0.285791241,292.893219,7.14121,0.462,AFT,"Braun et al., 2012"
xx-5,30,0.311772263,0,6.78677,0.432,AFT,"Braun et al., 2012"
xx-6,30,0.311772263,-500,6.15045,0.402,AFT,"Braun et al., 2012"
xx-7,30,0.311772263,-1000,5.48147,0.354,AFT,"Braun et al., 2012"
xx-8,30,0.311772263,-1500,4.81832,0.318,AFT,"Braun et al., 2012"
xx-9,30,0.311772263,-2000,4.12003,0.27,AFT,"Braun et al., 2012"
xx-10,30,0.207848175,2000,6.2102,0.438,AHe,"Braun et al., 2012"
xx-11,30,0.233829197,1707.106781,6.13089,0.432,AHe,"Braun et al., 2012"
xx-12,30,0.259810219,1000,5.78423,0.414,AHe,"Braun et al., 2012"
xx-13,30,0.285791241,292.893219,5.33945,0.396,AHe,"Braun et al., 2012"
xx-14,30,0.311772263,0,5.02936,0.372,AHe,"Braun et al., 2012"
xx-15,30,0.311772263,-500,4.10621,0.342,AHe,"Braun et al., 2012"
xx-16,30,0.311772263,-1000,2.9307,0.27,AHe,"Braun et al., 2012"
xx-17,30,0.311772263,-1500,1.76241,0.186,AHe,"Braun et al., 2012"
xx-18,30,0.311772263,-2000,0.825996,0.096,AHe,"Braun et al., 2012"
xx-10,30,0.207848175,2000,11.078,0.438,ZHe,"Braun et al., 2012"
xx-11,30,0.233829197,1707.106781,10.9575,0.432,ZHe,"Braun et al., 2012"
xx-12,30,0.259810219,1000,10.4416,0.414,ZHe,"Braun et al., 2012"
xx-13,30,0.285791241,292.893219,9.82302,0.396,ZHe,"Braun et al., 2012"
xx-14,30,0.311772263,0,9.44022,0.372,ZHe,"Braun et al., 2012"
xx-15,30,0.311772263,-500,8.94786,0.342,ZHe,"Braun et al., 2012"
xx-16,30,0.311772263,-1000,8.45538,0.27,ZHe,"Braun et al., 2012"
xx-17,30,0.311772263,-1500,7.9626,0.186,ZHe,"Braun et al., 2012"
xx-18,30,0.311772263,-2000,7.46907,0.096,ZHe,"Braun et al., 2012"
