sample,lati,longi,elevation,age,error,sys,ref
xx-1,30,0.207848175,2000,7.90424,0.4742544,AFT,"Braun et al., 2012"
xx-2,30,0.233829197,1707.106781,7.56544,0.4539264,AFT,"Braun et al., 2012"
xx-3,30,0.259810219,1000,6.17787,0.3706722,AFT,"Braun et al., 2012"
xx-4,30,0.285791241,292.893219,4.7614,0.285684,AFT,"Braun et al., 2012"
xx-5,30,0.311772263,0,4.08689,0.2452134,AFT,"Braun et al., 2012"
xx-6,30,0.311772263,-500,3.33824,0.2002944,AFT,"Braun et al., 2012"
xx-7,30,0.311772263,-1000,2.69332,0.1615992,AFT,"Braun et al., 2012"
xx-8,30,0.311772263,-1500,2.08702,0.1252212,AFT,"Braun et al., 2012"
xx-9,30,0.311772263,-2000,1.54065,0.092439,AFT,"Braun et al., 2012"
xx-1,30,0.207848175,2000,3.22964,0.1937784,AHe,"Braun et al., 2012"
xx-2,30,0.233829197,1707.106781,3.13232,0.1879392,AHe,"Braun et al., 2012"
xx-3,30,0.259810219,1000,2.73197,0.1639182,AHe,"Braun et al., 2012"
xx-4,30,0.285791241,292.893219,2.28144,0.1368864,AHe,"Braun et al., 2012"
xx-5,30,0.311772263,0,2.01577,0.1209462,AHe,"Braun et al., 2012"
xx-6,30,0.311772263,-500,1.49148,0.0894888,AHe,"Braun et al., 2012"
xx-7,30,0.311772263,-1000,0.985236,0.05911416,AHe,"Braun et al., 2012"
xx-8,30,0.311772263,-1500,0.53371,0.0320226,AHe,"Braun et al., 2012"
xx-9,30,0.311772263,-2000,0.207643,0.01245858,AHe,"Braun et al., 2012"
xx-1,30,0.207848175,2000,19.3291,1.159746,ZHe,"Braun et al., 2012"
xx-2,30,0.233829197,1707.106781,18.8976,1.133856,ZHe,"Braun et al., 2012"
xx-3,30,0.259810219,1000,17.052,1.02312,ZHe,"Braun et al., 2012"
xx-4,30,0.285791241,292.893219,14.8453,0.890718,ZHe,"Braun et al., 2012"
xx-5,30,0.311772263,0,13.4875,0.80925,ZHe,"Braun et al., 2012"
xx-6,30,0.311772263,-500,11.8772,0.712632,ZHe,"Braun et al., 2012"
xx-7,30,0.311772263,-1000,10.3025,0.61815,ZHe,"Braun et al., 2012"
xx-8,30,0.311772263,-1500,8.78781,0.5272686,ZHe,"Braun et al., 2012"
xx-9,30,0.311772263,-2000,7.36477,0.4418862,ZHe,"Braun et al., 2012"
