sample,lati,longi,elevation,age,error,sys,ref
xx-1,30,0.207848175,2000,15.9432,0.956622,AFT,"Braun et al., 2012"
xx-2,30,0.233829197,1707.106781,14.9446,0.896766,AFT,"Braun et al., 2012"
xx-3,30,0.259810219,1000,10.9005,0.654318,AFT,"Braun et al., 2012"
xx-4,30,0.285791241,292.893219,6.88843,0.4136538,AFT,"Braun et al., 2012"
xx-5,30,0.311772263,0,5.15996,0.3097476,AFT,"Braun et al., 2012"
xx-6,30,0.311772263,-500,3.78412,0.227367,AFT,"Braun et al., 2012"
xx-7,30,0.311772263,-1000,2.97315,0.178719,AFT,"Braun et al., 2012"
xx-8,30,0.311772263,-1500,2.29964,0.1383384,AFT,"Braun et al., 2012"
xx-9,30,0.311772263,-2000,1.68754,0.1015296,AFT,"Braun et al., 2012"
xx-10,30,0.207848175,2000,3.43202,0.2060004,AHe,"Braun et al., 2012"
xx-11,30,0.233829197,1707.106781,3.31916,0.1992522,AHe,"Braun et al., 2012"
xx-12,30,0.259810219,1000,2.86985,0.1723884,AHe,"Braun et al., 2012"
xx-13,30,0.285791241,292.893219,2.37931,0.1430586,AHe,"Braun et al., 2012"
xx-14,30,0.311772263,0,2.0949,0.1260504,AHe,"Braun et al., 2012"
xx-15,30,0.311772263,-500,1.5553,0.0936774,AHe,"Braun et al., 2012"
xx-16,30,0.311772263,-1000,1.03636,0.0625488,AHe,"Braun et al., 2012"
xx-17,30,0.311772263,-1500,0.572799,0.0346854,AHe,"Braun et al., 2012"
xx-18,30,0.311772263,-2000,0.232782,0.01413186,AHe,"Braun et al., 2012"
xx-10,30,0.207848175,2000,53.2158,2.308284,ZHe,"Braun et al., 2012"
xx-11,30,0.233829197,1707.106781,52.3114,2.297244,ZHe,"Braun et al., 2012"
xx-12,30,0.259810219,1000,47.1176,2.226276,ZHe,"Braun et al., 2012"
xx-13,30,0.285791241,292.893219,38.2548,2.065476,ZHe,"Braun et al., 2012"
xx-14,30,0.311772263,0,32.7497,1.907154,ZHe,"Braun et al., 2012"
xx-15,30,0.311772263,-500,27.4749,1.656078,ZHe,"Braun et al., 2012"
xx-16,30,0.311772263,-1000,22.7772,1.372704,ZHe,"Braun et al., 2012"
xx-17,30,0.311772263,-1500,18.343,1.10232,ZHe,"Braun et al., 2012"
xx-18,30,0.311772263,-2000,14.2743,0.857016,ZHe,"Braun et al., 2012"
